objectid,area_name,hood_id,neighborhood_id,popn_proj_2022,shape__area,shape__length
22,Golfdale-Cedarbrae-Woburn,141,154,28351,6035002.04467773,13482.5568261278
41,Harbourfront-CityPlace,165,155,30806,1138334.06713867,7255.3613393918
45,Humber Bay Shores,161,156,20075,1578118.51489258,16145.7929330268
48,Islington,158,157,25374,6105215.03466797,13591.2854938843
4,Junction-Wallace Emerson,171,158,25777,2222866.69580078,7435.19245753212
16,L'Amoreaux West,147,159,23987,3460788.23950195,8739.66536052357
17,Malvern East,146,160,27821,4832296.86425781,12117.7806233713
18,Malvern West,145,161,19219,4029796.06762695,9154.55332585361
46,Mimico-Queensway,160,162,18196,5480612.02587891,13398.7009686147
19,Morningside Heights,144,163,27737,28954808.3056641,24951.3249803541
2,North Toronto,173,164,14544,402030.80859375,2543.94583535318
9,Oakdale-Beverley Heights,154,165,21255,6685141.23193359,12397.490235482
14,Parkwoods-O'Connor Hills,149,166,14742,4146976.76904297,11283.2780295257
1,South Eglinton-Davisville,174,167,21418,944309.106445313,4005.55018410219
40,St Lawrence-East Bayfront-The Islands,166,168,30148,11314215.2421875,19766.0750487345
42,Wellington Place,164,169,27903,979639.042480469,4214.26206906525
44,West Queen West,162,170,14816,901748.544189453,4286.66852605939
20,West Rouge,143,171,22165,8582951.80004883,19556.4297320991
66,Weston-Pelham Park,91,172,12175,1455888.9375,5546.76801016057
21,Woburn North,142,173,29170,6299193.64990234,13078.7346685838
5,Yonge-Bay Corridor,170,174,14213,1118724.53076172,4811.10772577232
12,Yonge-Doris,151,175,22946,471717.026123047,4845.44820926561
